3166-1-alpha-2,3166-1-alpha-3,worldpop_population_map,key
AF,AFG,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/AFG/afg_ppp_2020.tif,AF
AL,ALB,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ALB/alb_ppp_2020.tif,AL
DZ,DZA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/DZA/dza_ppp_2020.tif,DZ
AS,ASM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ASM/asm_ppp_2020.tif,AS
AD,AND,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/AND/and_ppp_2020.tif,AD
AO,AGO,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/AGO/ago_ppp_2020.tif,AO
AI,AIA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/AIA/aia_ppp_2020.tif,AI
AQ,ATA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ATA/ata_ppp_2020.tif,AQ
AG,ATG,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ATG/atg_ppp_2020.tif,AG
AR,ARG,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ARG/arg_ppp_2020.tif,AR
AM,ARM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ARM/arm_ppp_2020.tif,AM
AW,ABW,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ABW/abw_ppp_2020.tif,AW
AU,AUS,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/AUS/aus_ppp_2020.tif,AU
AT,AUT,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/AUT/aut_ppp_2020.tif,AT
AZ,AZE,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/AZE/aze_ppp_2020.tif,AZ
BS,BHS,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BHS/bhs_ppp_2020.tif,BS
BH,BHR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BHR/bhr_ppp_2020.tif,BH
BD,BGD,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BGD/bgd_ppp_2020.tif,BD
BB,BRB,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BRB/brb_ppp_2020.tif,BB
BY,BLR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BLR/blr_ppp_2020.tif,BY
BE,BEL,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BEL/bel_ppp_2020.tif,BE
BZ,BLZ,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BLZ/blz_ppp_2020.tif,BZ
BJ,BEN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BEN/ben_ppp_2020.tif,BJ
BM,BMU,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BMU/bmu_ppp_2020.tif,BM
BT,BTN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BTN/btn_ppp_2020.tif,BT
BO,BOL,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BOL/bol_ppp_2020.tif,BO
BQ,BES,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BES/bes_ppp_2020.tif,BQ
BA,BIH,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BIH/bih_ppp_2020.tif,BA
BW,BWA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BWA/bwa_ppp_2020.tif,BW
BV,BVT,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BVT/bvt_ppp_2020.tif,BV
BR,BRA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BRA/bra_ppp_2020.tif,BR
IO,IOT,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/IOT/iot_ppp_2020.tif,IO
BN,BRN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BRN/brn_ppp_2020.tif,BN
BG,BGR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BGR/bgr_ppp_2020.tif,BG
BF,BFA,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BFA/bfa_ppp_2020.tif,BF
BI,BDI,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/BDI/bdi_ppp_2020.tif,BI
CV,CPV,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CPV/cpv_ppp_2020.tif,CV
KH,KHM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/KHM/khm_ppp_2020.tif,KH
CM,CMR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CMR/cmr_ppp_2020.tif,CM
CA,CAN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CAN/can_ppp_2020.tif,CA
KY,CYM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CYM/cym_ppp_2020.tif,KY
CF,CAF,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CAF/caf_ppp_2020.tif,CF
TD,TCD,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/TCD/tcd_ppp_2020.tif,TD
CL,CHL,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CHL/chl_ppp_2020.tif,CL
CN,CHN,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CHN/chn_ppp_2020.tif,CN
CX,CXR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CXR/cxr_ppp_2020.tif,CX
CC,CCK,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CCK/cck_ppp_2020.tif,CC
CO,COL,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/COL/col_ppp_2020.tif,CO
KM,COM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/COM/com_ppp_2020.tif,KM
CD,COD,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/COD/cod_ppp_2020.tif,CD
CG,COG,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/COG/cog_ppp_2020.tif,CG
CK,COK,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/COK/cok_ppp_2020.tif,CK
CR,CRI,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CRI/cri_ppp_2020.tif,CR
HR,HRV,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/HRV/hrv_ppp_2020.tif,HR
CU,CUB,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CUB/cub_ppp_2020.tif,CU
CW,CUW,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CUW/cuw_ppp_2020.tif,CW
CY,CYP,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CYP/cyp_ppp_2020.tif,CY
CZ,CZE,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CZE/cze_ppp_2020.tif,CZ
CI,CIV,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/CIV/civ_ppp_2020.tif,CI
DK,DNK,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/DNK/dnk_ppp_2020.tif,DK
DJ,DJI,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/DJI/dji_ppp_2020.tif,DJ
