key,worldpop_population_map,worldpop_population_map_male_age_00_05,worldpop_population_map_male_age_05_09,worldpop_population_map_male_age_10_15,worldpop_population_map_male_age_15_19,worldpop_population_map_male_age_20_25,worldpop_population_map_male_age_25_29,worldpop_population_map_male_age_30_35,worldpop_population_map_male_age_35_39,worldpop_population_map_male_age_40_45,worldpop_population_map_male_age_45_49,worldpop_population_map_male_age_50_55,worldpop_population_map_male_age_55_59,worldpop_population_map_male_age_60_65,worldpop_population_map_male_age_65_69,worldpop_population_map_male_age_70_75,worldpop_population_map_male_age_75_79,worldpop_population_map_male_age_80_99,worldpop_population_map_female_age_00_05,worldpop_population_map_female_age_05_09,worldpop_population_map_female_age_10_15,worldpop_population_map_female_age_15_19,worldpop_population_map_female_age_20_25,worldpop_population_map_female_age_25_29,worldpop_population_map_female_age_30_35,worldpop_population_map_female_age_35_39,worldpop_population_map_female_age_40_45,worldpop_population_map_female_age_45_49,worldpop_population_map_female_age_50_55,worldpop_population_map_female_age_55_59,worldpop_population_map_female_age_60_65,worldpop_population_map_female_age_65_69,worldpop_population_map_female_age_70_75,worldpop_population_map_female_age_75_79,worldpop_population_map_female_age_80_99
AD,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/AND/and_ppp_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_m_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_m_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_m_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_m_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_m_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_m_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_m_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_m_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_m_80_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_f_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_f_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_f_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_f_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_f_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_f_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_f_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_f_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AND/and_f_80_2020.tif
AE,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ARE/are_ppp_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_m_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_m_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_m_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_m_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_m_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_m_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_m_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_m_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_m_80_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_f_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_f_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_f_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_f_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_f_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_f_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_f_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_f_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARE/are_f_80_2020.tif
AF,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/AFG/afg_ppp_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_m_80_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AFG/afg_f_80_2020.tif
AG,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ATG/atg_ppp_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_m_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_m_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_m_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_m_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_m_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_m_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_m_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_m_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_m_80_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_f_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_f_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_f_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_f_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_f_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_f_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_f_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_f_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATG/atg_f_80_2020.tif
AI,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/AIA/aia_ppp_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_m_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_m_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_m_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_m_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_m_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_m_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_m_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_m_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_m_80_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_f_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_f_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_f_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_f_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_f_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_f_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_f_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_f_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AIA/aia_f_80_2020.tif
AL,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ALB/alb_ppp_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_m_80_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ALB/alb_f_80_2020.tif
AM,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ARM/arm_ppp_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_m_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_m_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_m_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_m_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_m_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_m_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_m_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_m_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_m_80_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_f_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_f_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_f_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_f_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_f_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_f_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_f_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_f_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARM/arm_f_80_2020.tif
AO,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/AGO/ago_ppp_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_m_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_m_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_m_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_m_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_m_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_m_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_m_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_m_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_m_80_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_f_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_f_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_f_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_f_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_f_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_f_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_f_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_f_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/AGO/ago_f_80_2020.tif
AQ,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ATA/ata_ppp_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_m_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_m_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_m_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_m_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_m_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_m_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_m_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_m_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_m_80_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_f_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_f_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_f_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_f_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_f_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_f_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_f_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_f_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ATA/ata_f_80_2020.tif
AR,ftp://ftp.worldpop.org.uk/GIS/Population/Global_2000_2020/2020/ARG/arg_ppp_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_m_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_m_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_m_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_m_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_m_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_m_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_m_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_m_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_m_80_2020.tif,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_f_00_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_f_10_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_f_20_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_f_30_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_f_40_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_f_50_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_f_60_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_f_70_2020.tif,,ftp://ftp.worldpop.org.uk/GIS/AgeSex_structures/Global_2000_2020/2020/ARG/arg_f_80_2020.tif
